epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.5204,1.81579,3.6045,1.67404,0.01745,0.84686,0.25038,0.16178,1.43665,3.21011,1.42513,0.000233143,0.000233143,0.000233143
2,34.9677,1.60254,2.69102,1.50962,0.81433,0.35393,0.44095,0.26057,1.53856,2.58975,1.42092,0.000466479,0.000466479,0.000466479
3,46.8111,1.59448,2.1586,1.47635,0.71895,0.44736,0.53862,0.33622,1.50191,2.15496,1.43756,0.000695102,0.000695102,0.000695102
4,63.9414,1.48413,1.90503,1.43227,0.63867,0.52731,0.52394,0.30917,1.58829,2.14695,1.45689,0.000692794,0.000692794,0.000692794
5,78.6872,1.43172,1.71839,1.39153,0.75417,0.5052,0.58383,0.37733,1.42152,1.88811,1.35942,0.000685726,0.000685726,0.000685726
6,93.2509,1.39878,1.56926,1.35337,0.61235,0.55388,0.5884,0.36804,1.43926,1.95169,1.37522,0.000678657,0.000678657,0.000678657
7,105.017,1.33491,1.46917,1.31953,0.69865,0.5595,0.70488,0.48411,1.32984,1.77923,1.32559,0.000671588,0.000671588,0.000671588
8,119.173,1.3347,1.44285,1.3227,0.69233,0.58537,0.7091,0.48164,1.29864,1.7606,1.29132,0.00066452,0.00066452,0.00066452
9,130.584,1.32541,1.39778,1.29711,0.86082,0.5506,0.67412,0.43586,1.40118,1.80174,1.42484,0.000657451,0.000657451,0.000657451
10,142.194,1.28121,1.30076,1.27596,0.72078,0.67363,0.7553,0.53358,1.31101,1.62481,1.31708,0.000650383,0.000650383,0.000650383
11,158.695,1.24253,1.25413,1.2545,0.62499,0.65486,0.71322,0.50545,1.27169,1.58988,1.30276,0.000643314,0.000643314,0.000643314
12,170.762,1.22141,1.22193,1.24736,0.85138,0.6614,0.77779,0.52986,1.37871,1.62625,1.39406,0.000636245,0.000636245,0.000636245
13,184.074,1.21152,1.16408,1.24464,0.79982,0.74919,0.79986,0.56796,1.23655,1.4141,1.3192,0.000629177,0.000629177,0.000629177
14,196.902,1.18872,1.14974,1.22682,0.85378,0.64129,0.78903,0.5565,1.34014,1.50535,1.37194,0.000622108,0.000622108,0.000622108
15,208.74,1.16718,1.121,1.22202,0.73646,0.76107,0.79137,0.56585,1.3005,1.44718,1.29912,0.00061504,0.00061504,0.00061504
16,220.312,1.14778,1.09366,1.20478,0.79812,0.69083,0.80871,0.58479,1.21296,1.45848,1.31026,0.000607971,0.000607971,0.000607971
17,231.759,1.15219,1.07558,1.20915,0.81693,0.74349,0.80002,0.56654,1.32782,1.54538,1.31813,0.000600902,0.000600902,0.000600902
18,243.12,1.12939,1.02012,1.19923,0.84774,0.70837,0.81866,0.59725,1.24568,1.3351,1.30233,0.000593834,0.000593834,0.000593834
19,254.661,1.12542,1.00343,1.18841,0.8126,0.74201,0.82128,0.58048,1.31757,1.436,1.3292,0.000586765,0.000586765,0.000586765
20,266.602,1.09652,0.99685,1.18626,0.82414,0.72659,0.8073,0.58889,1.25939,1.43795,1.34156,0.000579697,0.000579697,0.000579697
21,277.877,1.07443,0.95068,1.172,0.84316,0.7407,0.78812,0.57038,1.19055,1.40871,1.26773,0.000572628,0.000572628,0.000572628
22,290.294,1.09587,0.94707,1.17361,0.84714,0.74707,0.8251,0.59466,1.25417,1.32481,1.26721,0.000565559,0.000565559,0.000565559
23,302.531,1.05127,0.90831,1.15437,0.83473,0.64916,0.76905,0.5594,1.29822,1.47684,1.29768,0.000558491,0.000558491,0.000558491
24,314.332,1.07342,0.92377,1.16592,0.81027,0.80121,0.8338,0.5986,1.26333,1.35972,1.30518,0.000551422,0.000551422,0.000551422
25,325.479,1.04453,0.88402,1.14916,0.76223,0.75969,0.80465,0.60041,1.23681,1.36436,1.28439,0.000544354,0.000544354,0.000544354
26,336.8,1.03457,0.88998,1.14127,0.87422,0.74799,0.80964,0.60682,1.16985,1.38879,1.23001,0.000537285,0.000537285,0.000537285
27,348.004,1.02878,0.85817,1.14588,0.79276,0.79135,0.81337,0.58474,1.26246,1.41777,1.29744,0.000530216,0.000530216,0.000530216
28,359.385,1.01942,0.85023,1.14009,0.82813,0.77644,0.83677,0.60184,1.17968,1.23567,1.29817,0.000523148,0.000523148,0.000523148
29,370.544,1.00012,0.83409,1.12997,0.86996,0.74606,0.81292,0.5654,1.3033,1.42443,1.27226,0.000516079,0.000516079,0.000516079
30,381.667,0.99334,0.832,1.12628,0.79235,0.80634,0.80939,0.58536,1.23431,1.36667,1.28405,0.000509011,0.000509011,0.000509011
31,392.889,0.99902,0.81018,1.12228,0.78857,0.78674,0.80538,0.58241,1.22517,1.33116,1.25779,0.000501942,0.000501942,0.000501942
32,403.956,0.99677,0.80268,1.11863,0.86555,0.82049,0.86748,0.63013,1.15795,1.13577,1.20818,0.000494873,0.000494873,0.000494873
33,415.222,0.98369,0.79822,1.1153,0.81799,0.75394,0.82758,0.61503,1.22811,1.24103,1.2584,0.000487805,0.000487805,0.000487805
34,426.251,0.993,0.77006,1.11253,0.8049,0.81989,0.84805,0.6349,1.20537,1.24615,1.26631,0.000480736,0.000480736,0.000480736
35,437.618,0.96133,0.77817,1.10602,0.73966,0.79774,0.81025,0.60057,1.13552,1.24555,1.20487,0.000473668,0.000473668,0.000473668
36,450,0.96657,0.76473,1.11863,0.78354,0.81811,0.84,0.62483,1.14273,1.1755,1.21715,0.000466599,0.000466599,0.000466599
37,461.103,0.96185,0.76243,1.10239,0.87597,0.76161,0.8588,0.6468,1.1471,1.14207,1.24006,0.00045953,0.00045953,0.00045953
38,472.205,0.94817,0.74528,1.0992,0.84735,0.75687,0.84358,0.60789,1.22906,1.23564,1.28089,0.000452462,0.000452462,0.000452462
39,483.417,0.94203,0.74318,1.0955,0.82018,0.817,0.83631,0.61376,1.1598,1.20261,1.25376,0.000445393,0.000445393,0.000445393
40,494.549,0.93385,0.73561,1.09141,0.81608,0.78128,0.81596,0.60309,1.21893,1.26373,1.28478,0.000438325,0.000438325,0.000438325
41,505.745,0.92659,0.7307,1.10273,0.82345,0.77505,0.82983,0.6264,1.15347,1.15399,1.24943,0.000431256,0.000431256,0.000431256
42,516.91,0.92837,0.72894,1.09133,0.87676,0.81616,0.86618,0.64535,1.17138,1.07682,1.2424,0.000424187,0.000424187,0.000424187
43,528.107,0.93049,0.72425,1.09894,0.83908,0.76758,0.83214,0.61699,1.18351,1.15044,1.24305,0.000417119,0.000417119,0.000417119
44,539.272,0.91985,0.7036,1.08403,0.83634,0.79342,0.83477,0.63213,1.13496,1.14049,1.22457,0.00041005,0.00041005,0.00041005
