epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.7227,1.84279,3.88707,1.69009,0.02349,0.50994,0.10768,0.06286,1.46114,3.44088,1.43302,0.000163265,0.000163265,0.000163265
2,36.2454,1.59057,2.95161,1.50404,0.85373,0.20665,0.21884,0.12966,1.61624,2.75458,1.54507,0.000326666,0.000326666,0.000326666
3,56.5527,1.57183,2.31244,1.47632,0.84298,0.2968,0.32298,0.21074,1.43434,2.3753,1.38321,0.000486766,0.000486766,0.000486766
4,73.3018,1.4967,2.0024,1.44554,0.89077,0.29813,0.33845,0.22672,1.34845,2.32182,1.29232,0.00048515,0.00048515,0.00048515
5,86.7871,1.43802,1.80902,1.3924,0.8355,0.36013,0.38714,0.25212,1.35499,2.32821,1.33372,0.0004802,0.0004802,0.0004802
6,104.528,1.38343,1.65247,1.35223,0.72337,0.37968,0.44172,0.30059,1.39592,2.12828,1.35457,0.00047525,0.00047525,0.00047525
7,117.184,1.34153,1.52137,1.30982,0.76212,0.3749,0.46151,0.31925,1.26606,2.05979,1.2866,0.0004703,0.0004703,0.0004703
8,131.479,1.33531,1.48781,1.31466,0.84809,0.37471,0.48079,0.33725,1.21137,2.00858,1.239,0.00046535,0.00046535,0.00046535
9,144.843,1.27222,1.39817,1.27747,0.86421,0.37306,0.4711,0.29077,1.51171,2.01047,1.38251,0.0004604,0.0004604,0.0004604
10,159.525,1.24467,1.32362,1.26215,0.67577,0.44721,0.52902,0.3901,1.3068,1.93838,1.26237,0.00045545,0.00045545,0.00045545
11,173.122,1.20566,1.28315,1.23474,0.85678,0.39449,0.57404,0.40158,1.23751,1.81555,1.24378,0.0004505,0.0004505,0.0004505
12,187.217,1.23164,1.25965,1.24862,0.7161,0.41647,0.59346,0.40397,1.35263,1.77831,1.34111,0.00044555,0.00044555,0.00044555
13,200.797,1.17001,1.19886,1.22654,0.83693,0.38707,0.63372,0.44555,1.25872,1.71131,1.25348,0.0004406,0.0004406,0.0004406
14,213.414,1.15928,1.15613,1.2084,0.58219,0.49094,0.57752,0.40489,1.30245,1.849,1.30534,0.00043565,0.00043565,0.00043565
15,226.685,1.14202,1.14939,1.21168,0.76657,0.52379,0.57686,0.38871,1.40655,1.62725,1.30302,0.0004307,0.0004307,0.0004307
16,239.256,1.13428,1.13297,1.19442,0.81988,0.46687,0.58165,0.40355,1.30787,1.64152,1.25697,0.00042575,0.00042575,0.00042575
17,252.134,1.12311,1.10008,1.19922,0.75345,0.46711,0.61543,0.41487,1.37516,1.55431,1.31507,0.0004208,0.0004208,0.0004208
18,265.638,1.12376,1.06322,1.1909,0.87477,0.47275,0.63691,0.46944,1.28351,1.51248,1.31237,0.00041585,0.00041585,0.00041585
19,277.977,1.07837,1.0341,1.17486,0.86486,0.46762,0.65021,0.44789,1.26947,1.57921,1.23253,0.0004109,0.0004109,0.0004109
20,290.688,1.09421,1.05107,1.17943,0.75726,0.56245,0.67017,0.47681,1.23913,1.37432,1.2679,0.00040595,0.00040595,0.00040595
21,303.278,1.06531,0.99656,1.16856,0.66639,0.52213,0.64954,0.46643,1.23655,1.54841,1.25465,0.000401,0.000401,0.000401
22,316.501,1.07494,0.98812,1.16566,0.79544,0.51428,0.6323,0.43052,1.3557,1.42305,1.30958,0.00039605,0.00039605,0.00039605
23,328.93,1.03657,0.95441,1.15249,0.74364,0.5495,0.67204,0.47831,1.26516,1.41934,1.2439,0.0003911,0.0003911,0.0003911
24,342.965,1.02644,0.95161,1.1495,0.64034,0.57804,0.65406,0.45994,1.17214,1.37847,1.23062,0.00038615,0.00038615,0.00038615
25,356.724,1.01694,0.91682,1.13747,0.74376,0.49662,0.66967,0.48299,1.33826,1.52037,1.33926,0.0003812,0.0003812,0.0003812
26,369.678,1.00106,0.90659,1.1305,0.7348,0.5247,0.66752,0.49265,1.16663,1.47334,1.2391,0.00037625,0.00037625,0.00037625
27,382.518,1.00492,0.89935,1.13678,0.79322,0.5283,0.63765,0.42142,1.27724,1.533,1.24746,0.0003713,0.0003713,0.0003713
28,395.146,0.99968,0.88707,1.12471,0.6053,0.61769,0.67102,0.47623,1.17216,1.39572,1.22581,0.00036635,0.00036635,0.00036635
29,409.857,0.99093,0.87547,1.12438,0.602,0.56669,0.63006,0.45644,1.2854,1.38391,1.26391,0.0003614,0.0003614,0.0003614
30,424.448,0.98472,0.86094,1.12087,0.59979,0.63972,0.65969,0.46135,1.24822,1.37416,1.26031,0.00035645,0.00035645,0.00035645
31,437.365,0.96733,0.84647,1.11338,0.6852,0.5063,0.68363,0.50753,1.14911,1.34986,1.18481,0.0003515,0.0003515,0.0003515
32,451.164,0.95922,0.83686,1.10797,0.48668,0.62933,0.66754,0.49121,1.10804,1.31055,1.16644,0.00034655,0.00034655,0.00034655
33,465.182,0.97581,0.84053,1.11375,0.71263,0.56803,0.62069,0.43436,1.14091,1.35622,1.20006,0.0003416,0.0003416,0.0003416
