epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
34,482.765,0.9457,0.79929,1.09741,0.7767,0.52745,0.68093,0.48911,1.19009,1.32443,1.22186,0.00033665,0.00033665,0.00033665
35,502.131,0.94811,0.81095,1.10244,0.66266,0.6254,0.68799,0.49626,1.1611,1.26584,1.2236,0.0003317,0.0003317,0.0003317
36,520.083,0.942,0.79754,1.10707,0.72647,0.55359,0.66859,0.46749,1.13534,1.35352,1.20844,0.00032675,0.00032675,0.00032675
37,531.544,0.91808,0.7851,1.08504,0.77609,0.57235,0.68961,0.50382,1.22029,1.31557,1.23937,0.0003218,0.0003218,0.0003218
38,544.559,0.9185,0.77466,1.08893,0.79637,0.50887,0.65202,0.46648,1.11542,1.25955,1.20514,0.00031685,0.00031685,0.00031685
39,555.725,0.92442,0.78159,1.09022,0.53291,0.71024,0.67056,0.47061,1.09527,1.32811,1.18053,0.0003119,0.0003119,0.0003119
40,566.17,0.91145,0.76779,1.08563,0.58614,0.63744,0.67402,0.45777,1.17467,1.3366,1.22123,0.00030695,0.00030695,0.00030695
41,576.662,0.89949,0.75967,1.085,0.67777,0.61116,0.70183,0.49555,1.234,1.26263,1.26493,0.000302,0.000302,0.000302
42,587.155,0.90121,0.74156,1.07281,0.56479,0.67923,0.68193,0.44001,1.16753,1.22037,1.20869,0.00029705,0.00029705,0.00029705
43,597.64,0.91361,0.7575,1.08567,0.66192,0.5351,0.664,0.47877,1.14829,1.3051,1.1778,0.0002921,0.0002921,0.0002921
44,608.095,0.89619,0.73737,1.08182,0.55122,0.70653,0.69035,0.49542,1.07181,1.2144,1.15623,0.00028715,0.00028715,0.00028715
45,618.493,0.8747,0.72006,1.06615,0.52545,0.64312,0.66366,0.46831,1.1954,1.28218,1.21036,0.0002822,0.0002822,0.0002822
46,629.019,0.88093,0.70326,1.06991,0.50009,0.59929,0.66618,0.48933,1.1159,1.2352,1.1808,0.00027725,0.00027725,0.00027725
47,639.393,0.8843,0.71783,1.07539,0.56702,0.68233,0.72996,0.52317,1.15585,1.21799,1.19844,0.0002723,0.0002723,0.0002723
48,649.956,0.86556,0.70847,1.06845,0.5047,0.68606,0.684,0.50239,1.06938,1.23199,1.17066,0.00026735,0.00026735,0.00026735
49,660.219,0.87932,0.71015,1.06991,0.67103,0.72188,0.71596,0.52309,1.04008,1.2119,1.1688,0.0002624,0.0002624,0.0002624
50,670.804,0.85509,0.68985,1.05964,0.47672,0.65748,0.6331,0.45361,1.10615,1.32516,1.18504,0.00025745,0.00025745,0.00025745
51,681.331,0.85666,0.68707,1.06356,0.49654,0.56112,0.62242,0.43901,1.14664,1.29885,1.21254,0.0002525,0.0002525,0.0002525
52,691.937,0.84855,0.68423,1.05761,0.78853,0.55309,0.63025,0.46106,1.04257,1.24492,1.16209,0.00024755,0.00024755,0.00024755
53,702.552,0.84585,0.6878,1.0532,0.55274,0.609,0.66229,0.48524,1.07485,1.25864,1.17136,0.0002426,0.0002426,0.0002426
54,713.187,0.84402,0.67586,1.05381,0.63127,0.62754,0.67517,0.49142,1.03186,1.20796,1.15253,0.00023765,0.00023765,0.00023765
55,723.793,0.8405,0.67481,1.05854,0.48978,0.67251,0.64219,0.44984,1.0722,1.24883,1.16686,0.0002327,0.0002327,0.0002327
56,737.262,0.83593,0.672,1.04706,0.51726,0.61245,0.65634,0.46605,1.11629,1.21257,1.15294,0.00022775,0.00022775,0.00022775
57,747.716,0.82411,0.655,1.04095,0.52799,0.67895,0.64014,0.47228,1.06788,1.16274,1.15631,0.0002228,0.0002228,0.0002228
58,758.397,0.81573,0.64909,1.04474,0.53355,0.62255,0.62995,0.45222,1.07965,1.22905,1.16881,0.00021785,0.00021785,0.00021785
59,769.975,0.83079,0.65179,1.04203,0.53322,0.68041,0.67189,0.45641,1.13998,1.18757,1.16428,0.0002129,0.0002129,0.0002129
60,781.069,0.81767,0.65153,1.04317,0.5384,0.70161,0.6637,0.46485,1.10097,1.17891,1.15157,0.00020795,0.00020795,0.00020795
61,791.459,0.81175,0.65089,1.0392,0.51982,0.69932,0.67683,0.47727,1.07096,1.15151,1.12233,0.000203,0.000203,0.000203
62,801.918,0.80044,0.64018,1.0364,0.51651,0.65548,0.66868,0.46066,1.10554,1.23751,1.14678,0.00019805,0.00019805,0.00019805
63,812.303,0.79634,0.63344,1.03374,0.59123,0.66059,0.65167,0.46006,1.0534,1.20434,1.15068,0.0001931,0.0001931,0.0001931
64,822.901,0.80023,0.63053,1.03617,0.61677,0.55022,0.61706,0.44662,1.05369,1.24905,1.15327,0.00018815,0.00018815,0.00018815
65,833.468,0.78284,0.62205,1.02606,0.61939,0.60245,0.65346,0.44984,1.0744,1.16182,1.15012,0.0001832,0.0001832,0.0001832
66,847.014,0.78303,0.6219,1.02989,0.59059,0.67186,0.68614,0.49406,1.04373,1.20465,1.16134,0.00017825,0.00017825,0.00017825
67,860.016,0.78656,0.61746,1.03709,0.5262,0.64997,0.64808,0.46959,1.01671,1.21188,1.13604,0.0001733,0.0001733,0.0001733
68,871.694,0.76188,0.60319,1.02305,0.53882,0.64594,0.64371,0.45519,1.04501,1.19742,1.15423,0.00016835,0.00016835,0.00016835
69,883.364,0.77773,0.61399,1.02718,0.53692,0.65165,0.63233,0.45585,1.03501,1.18114,1.13475,0.0001634,0.0001634,0.0001634
70,895.279,0.76289,0.59702,1.02099,0.5521,0.61869,0.6077,0.44214,1.0911,1.2244,1.17354,0.00015845,0.00015845,0.00015845
71,907.106,0.77769,0.59994,1.02021,0.62805,0.59975,0.63394,0.46303,1.07161,1.23656,1.14862,0.0001535,0.0001535,0.0001535
72,919.065,0.74791,0.59363,1.01674,0.49499,0.62339,0.61912,0.44684,1.06699,1.16349,1.18041,0.00014855,0.00014855,0.00014855
73,930.771,0.74596,0.58942,1.02049,0.60185,0.62524,0.61849,0.45912,1.06058,1.18661,1.17644,0.0001436,0.0001436,0.0001436
74,942.589,0.7595,0.59819,1.01941,0.74953,0.57391,0.61996,0.45806,0.99724,1.17434,1.14271,0.00013865,0.00013865,0.00013865
75,954.389,0.74464,0.57248,1.01484,0.75274,0.56106,0.63825,0.45929,1.04601,1.22723,1.15399,0.0001337,0.0001337,0.0001337
76,966.275,0.73837,0.57471,1.00957,0.6537,0.66187,0.67794,0.48115,1.02194,1.12075,1.14398,0.00012875,0.00012875,0.00012875
77,977.984,0.7389,0.57722,1.01827,0.55832,0.66409,0.66011,0.46779,1.05397,1.19424,1.15201,0.0001238,0.0001238,0.0001238
78,989.895,0.74096,0.57765,1.01029,0.56755,0.63128,0.66199,0.47305,1.06455,1.17475,1.16005,0.00011885,0.00011885,0.00011885
79,1001.57,0.74004,0.57922,1.01242,0.58316,0.63955,0.65634,0.47842,1.03655,1.1403,1.1462,0.0001139,0.0001139,0.0001139
80,1015.88,0.73533,0.572,1.00582,0.76484,0.59829,0.66339,0.47253,1.09494,1.15732,1.15405,0.00010895,0.00010895,0.00010895
81,1028.53,0.72725,0.56658,1.00558,0.5489,0.66183,0.6531,0.4774,1.02155,1.15391,1.13326,0.000104,0.000104,0.000104
82,1041.33,0.74337,0.56974,1.01074,0.56138,0.65705,0.64892,0.48069,1.01804,1.12758,1.13764,9.905e-05,9.905e-05,9.905e-05
83,1053.12,0.73212,0.56438,1.00756,0.70062,0.64748,0.67238,0.48546,1.01634,1.10642,1.13261,9.41e-05,9.41e-05,9.41e-05
84,1065.13,0.72419,0.55804,1.00372,0.62932,0.64228,0.66039,0.47761,1.02764,1.20678,1.12679,8.915e-05,8.915e-05,8.915e-05
85,1076.75,0.71975,0.57037,1.00638,0.67904,0.62855,0.65781,0.4752,1.00833,1.1703,1.10564,8.42e-05,8.42e-05,8.42e-05
86,1088.45,0.70611,0.54767,0.99952,0.66101,0.64836,0.66475,0.48656,1.01369,1.16883,1.1269,7.925e-05,7.925e-05,7.925e-05
87,1100.01,0.71254,0.54995,0.99759,0.56316,0.68986,0.67581,0.49327,0.98462,1.12091,1.11582,7.43e-05,7.43e-05,7.43e-05
88,1111.7,0.69317,0.54767,0.99228,0.54291,0.67524,0.66594,0.48545,1.03098,1.15787,1.13874,6.935e-05,6.935e-05,6.935e-05
89,1123.73,0.70521,0.53925,0.99352,0.62637,0.62861,0.66368,0.47158,1.08558,1.15568,1.16189,6.44e-05,6.44e-05,6.44e-05
90,1135.46,0.69385,0.53694,0.99081,0.55871,0.64151,0.66632,0.48441,1.01446,1.14445,1.13354,5.945e-05,5.945e-05,5.945e-05
91,1212.14,0.621,0.49299,0.97818,0.57551,0.6525,0.66712,0.46903,1.05162,1.16416,1.14098,5.45e-05,5.45e-05,5.45e-05
92,1223.81,0.61911,0.47754,0.97251,0.58204,0.66192,0.6544,0.46481,1.05169,1.20228,1.13574,4.955e-05,4.955e-05,4.955e-05
93,1235.27,0.59341,0.45851,0.9476,0.56772,0.65799,0.64971,0.4526,1.02818,1.16833,1.13405,4.46e-05,4.46e-05,4.46e-05
94,1246.43,0.58721,0.45355,0.95453,0.55159,0.65439,0.63845,0.45244,1.00347,1.11543,1.1297,3.965e-05,3.965e-05,3.965e-05
95,1257.64,0.58037,0.45203,0.95203,0.52467,0.70549,0.64207,0.4588,1.03594,1.11454,1.1321,3.47e-05,3.47e-05,3.47e-05
96,1268.76,0.57812,0.4461,0.94367,0.52072,0.68692,0.64179,0.46114,1.02593,1.12554,1.13351,2.975e-05,2.975e-05,2.975e-05
97,1280.25,0.56455,0.43901,0.9337,0.52424,0.7105,0.641,0.46188,1.03663,1.11577,1.13259,2.48e-05,2.48e-05,2.48e-05
98,1291.51,0.56509,0.44175,0.94051,0.5169,0.70579,0.64069,0.46411,1.0349,1.11253,1.13408,1.985e-05,1.985e-05,1.985e-05
99,1302.87,0.57042,0.4419,0.94026,0.51762,0.70552,0.64618,0.46577,1.02041,1.11563,1.12927,1.49e-05,1.49e-05,1.49e-05
100,1314.04,0.55772,0.43864,0.93795,0.52034,0.72198,0.6464,0.46734,1.0159,1.10092,1.12246,9.95e-06,9.95e-06,9.95e-06
