epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,15554,1.00634,1.13331,1.13619,0.4451,0.87478,0.75152,0.50199,0.97755,1.42757,1.09014,0.000270316,0.000270316,0.000270316
43,15874,0.99566,1.12412,1.13495,0.4648,0.79931,0.77931,0.54891,0.85572,1.47554,1.02932,0.000265811,0.000265811,0.000265811
44,16218,0.99879,1.09146,1.12333,0.56063,0.81242,0.82618,0.51411,0.9307,1.28055,1.09382,0.000261307,0.000261307,0.000261307
45,16542.6,1.04551,1.12361,1.16065,0.51067,0.84983,0.69969,0.50413,0.87814,1.38738,1.09075,0.000256802,0.000256802,0.000256802
46,16863.1,0.98184,1.05618,1.10962,0.50617,0.8489,0.779,0.53905,0.84382,1.37614,1.03798,0.000252298,0.000252298,0.000252298
47,17183.4,0.9913,1.04396,1.1154,0.47349,0.85787,0.8239,0.55243,0.76499,1.24078,1.0457,0.000247793,0.000247793,0.000247793
48,17505,0.94355,1.05167,1.11322,0.57752,0.93432,0.80724,0.60003,0.85136,1.28838,1.06436,0.000243289,0.000243289,0.000243289
49,17824.6,0.96957,1.02659,1.10526,0.56085,0.84435,0.82331,0.56652,0.87768,1.30167,1.06249,0.000238784,0.000238784,0.000238784
50,18164.2,0.97506,1.04646,1.11451,0.59147,0.70607,0.72854,0.54427,0.75648,1.31753,1.02748,0.00023428,0.00023428,0.00023428
51,18487.9,0.96515,1.02608,1.10761,0.7891,0.68218,0.87042,0.57864,0.84049,1.25389,1.0648,0.000229775,0.000229775,0.000229775
52,19006.6,0.96689,1.01238,1.1128,0.75032,0.84182,0.92307,0.65562,0.82025,1.08699,1.03646,0.00022527,0.00022527,0.00022527
53,19624.9,0.91678,0.96248,1.08753,0.53629,0.83367,0.76835,0.54652,0.79823,1.24214,1.04232,0.000220766,0.000220766,0.000220766
54,19979.2,0.9629,1.01368,1.11177,0.71349,0.74597,0.85979,0.62643,0.81878,1.17428,1.04571,0.000216261,0.000216261,0.000216261
55,20524.6,0.94808,0.96825,1.10346,0.63322,0.81813,0.82867,0.62853,0.78921,1.29151,1.04027,0.000211757,0.000211757,0.000211757
56,21017.9,0.93081,0.9638,1.09673,0.75158,0.68825,0.86195,0.63206,0.84904,1.30263,1.04747,0.000207252,0.000207252,0.000207252
57,21674.1,0.97175,0.95252,1.09699,0.79763,0.7442,0.85389,0.62838,0.77229,1.30318,1.00852,0.000202748,0.000202748,0.000202748
58,22187.6,0.91218,0.95168,1.0809,0.72217,0.88396,0.88292,0.67099,0.78704,1.04126,1.01968,0.000198244,0.000198244,0.000198244
59,22660.9,0.92844,0.94904,1.08995,0.60003,0.91641,0.84305,0.63885,0.75721,1.20978,1.01598,0.000193739,0.000193739,0.000193739
60,23121.3,0.89874,0.91972,1.07062,0.71149,0.71111,0.84417,0.63316,0.75286,1.21623,1.00433,0.000189235,0.000189235,0.000189235
61,23598.6,0.92224,0.93124,1.09837,0.70892,0.83842,0.86414,0.665,0.79197,1.05829,1.00199,0.00018473,0.00018473,0.00018473
62,24063.6,0.91011,0.93348,1.07713,0.61816,0.90184,0.87317,0.63394,0.78269,1.07025,1.01221,0.000180226,0.000180226,0.000180226
63,24514.8,0.92891,0.91951,1.10465,0.76788,0.7805,0.78142,0.59125,0.77009,1.15884,1.01773,0.000175721,0.000175721,0.000175721
64,24970,0.88882,0.91139,1.07564,0.81328,0.8122,0.8719,0.61216,0.80618,1.10384,1.02071,0.000171217,0.000171217,0.000171217
65,25421.2,0.89504,0.88461,1.0752,0.74835,0.7571,0.81058,0.58659,0.84083,1.13586,1.0398,0.000166712,0.000166712,0.000166712
66,25878.2,0.89232,0.90173,1.07923,0.76661,0.72379,0.75879,0.55921,0.76004,1.2434,0.99177,0.000162207,0.000162207,0.000162207
67,26313.2,0.92043,0.86993,1.07941,0.81198,0.82333,0.83819,0.6361,0.72959,1.09302,0.99556,0.000157703,0.000157703,0.000157703
68,26747.9,0.86673,0.82637,1.05137,0.752,0.80092,0.83197,0.60617,0.85546,1.07318,1.03351,0.000153198,0.000153198,0.000153198
69,27229.7,0.90589,0.86642,1.07109,0.80827,0.76069,0.88441,0.62626,0.83892,1.12366,1.03502,0.000148694,0.000148694,0.000148694
70,27660,0.89154,0.85386,1.08009,0.79795,0.80724,0.8759,0.68656,0.80626,1.00634,1.00663,0.00014419,0.00014419,0.00014419
71,28085.4,0.86737,0.84888,1.07191,0.78554,0.75618,0.88451,0.66322,0.75807,1.04286,0.99702,0.000139685,0.000139685,0.000139685
72,28441.9,0.85113,0.80663,1.03282,0.64412,0.88369,0.8854,0.69841,0.70726,1.0386,0.97104,0.000135181,0.000135181,0.000135181
73,28796.2,0.85514,0.84915,1.06166,0.76897,0.79439,0.88342,0.70641,0.73145,1.03863,0.98763,0.000130676,0.000130676,0.000130676
74,29163.8,0.8459,0.81036,1.06377,0.80533,0.74192,0.8996,0.69101,0.74046,1.09315,0.9983,0.000126172,0.000126172,0.000126172
75,29543.6,0.88109,0.84158,1.05822,0.70707,0.89482,0.88888,0.66765,0.75414,1.04709,0.99377,0.000121667,0.000121667,0.000121667
76,29901,0.8311,0.82128,1.0344,0.74786,0.7769,0.81166,0.61016,0.75895,1.17045,0.99122,0.000117163,0.000117163,0.000117163
77,30240,0.81539,0.78461,1.03778,0.79375,0.71867,0.82218,0.62375,0.75824,1.15939,0.99262,0.000112658,0.000112658,0.000112658
78,30583.7,0.85082,0.8096,1.05118,0.76919,0.76159,0.83323,0.63695,0.73662,1.12824,0.99798,0.000108154,0.000108154,0.000108154
79,30929.1,0.86382,0.80517,1.04597,0.78792,0.76514,0.86055,0.65252,0.72448,1.06525,0.98686,0.000103649,0.000103649,0.000103649
80,31264,0.82127,0.79578,1.03528,0.7204,0.80248,0.8612,0.63997,0.75502,1.07261,0.9915,9.91445e-05,9.91445e-05,9.91445e-05
81,31592.4,0.79275,0.80594,1.0388,0.69982,0.81765,0.85587,0.63185,0.7552,1.14646,0.98808,9.464e-05,9.464e-05,9.464e-05
82,31921.5,0.84494,0.81796,1.05953,0.71154,0.82307,0.85298,0.6536,0.74697,1.0735,0.99664,9.01355e-05,9.01355e-05,9.01355e-05
83,32252.6,0.80285,0.80347,1.04157,0.77786,0.79551,0.8971,0.69905,0.73735,1.00902,0.99198,8.5631e-05,8.5631e-05,8.5631e-05
84,32548,0.79894,0.75767,1.02647,0.80899,0.79725,0.91197,0.70177,0.74146,0.99013,1.01058,8.11265e-05,8.11265e-05,8.11265e-05
85,32839.7,0.78958,0.7895,1.03076,0.83069,0.73082,0.90616,0.68417,0.74364,1.07138,1.00996,7.6622e-05,7.6622e-05,7.6622e-05
86,33132.1,0.81247,0.79424,1.04142,0.81029,0.73929,0.89328,0.6748,0.76047,1.0763,1.0024,7.21175e-05,7.21175e-05,7.21175e-05
87,33423.6,0.81803,0.77408,1.04311,0.76319,0.79249,0.89723,0.68598,0.73453,1.03882,0.99329,6.7613e-05,6.7613e-05,6.7613e-05
88,33718.3,0.7898,0.76582,1.01725,0.82894,0.70824,0.87723,0.68286,0.72295,1.01048,0.98033,6.31085e-05,6.31085e-05,6.31085e-05
89,34011.8,0.80772,0.77396,1.04048,0.83544,0.71873,0.88027,0.69505,0.72001,1.01987,0.98036,5.8604e-05,5.8604e-05,5.8604e-05
90,34311.4,0.79369,0.75875,1.03008,0.79924,0.73414,0.87996,0.693,0.72706,1.07135,0.98092,5.40995e-05,5.40995e-05,5.40995e-05
91,34603.6,0.67122,0.68367,0.97667,0.80441,0.72153,0.83814,0.64413,0.77683,1.12402,0.99705,4.9595e-05,4.9595e-05,4.9595e-05
92,34893.6,0.68959,0.68804,0.99216,0.78157,0.74377,0.84874,0.65975,0.73356,1.12253,0.99018,4.50905e-05,4.50905e-05,4.50905e-05
93,35182.2,0.62231,0.64683,0.94091,0.7597,0.7934,0.89377,0.69504,0.73003,1.09121,0.99157,4.0586e-05,4.0586e-05,4.0586e-05
94,35471.8,0.63571,0.64917,0.95546,0.76063,0.79193,0.89766,0.71392,0.7172,1.09499,0.98618,3.60815e-05,3.60815e-05,3.60815e-05
95,35764.9,0.65272,0.65589,0.95644,0.66229,0.83965,0.88376,0.68623,0.72054,1.11648,0.98235,3.1577e-05,3.1577e-05,3.1577e-05
96,36055.7,0.6433,0.64975,0.97378,0.69138,0.80027,0.88612,0.68034,0.72043,1.12178,0.97859,2.70725e-05,2.70725e-05,2.70725e-05
97,36346.8,0.61239,0.64021,0.94161,0.73451,0.76814,0.84309,0.65402,0.71764,1.10898,0.97579,2.2568e-05,2.2568e-05,2.2568e-05
98,36636.5,0.62431,0.64244,0.96783,0.72455,0.8068,0.845,0.6656,0.71338,1.08507,0.97409,1.80635e-05,1.80635e-05,1.80635e-05
99,36926.9,0.61472,0.62142,0.9415,0.73484,0.8015,0.88342,0.68174,0.71881,1.08291,0.97883,1.3559e-05,1.3559e-05,1.3559e-05
100,37218.1,0.62561,0.64528,0.97222,0.75573,0.80119,0.8931,0.68803,0.71478,1.08102,0.9784,9.0545e-06,9.0545e-06,9.0545e-06
